filename,openness,conscientiousness,extraversion,agreeableness,neuroticism
000-0.jpg,0.8,0.4,0.6,0.6,0.3
000-1.jpg,0.8,0.4,0.6,0.6,0.3
000-2.jpg,0.8,0.4,0.6,0.6,0.3
000-3.jpg,0.8,0.4,0.6,0.6,0.3
000-4.jpg,0.8,0.4,0.6,0.6,0.3
000-5.jpg,0.8,0.4,0.6,0.6,0.3
000-6.jpg,0.8,0.4,0.6,0.6,0.3
000-7.jpg,0.8,0.4,0.6,0.6,0.3
000-8.jpg,0.8,0.4,0.6,0.6,0.3
000-9.jpg,0.8,0.4,0.6,0.6,0.3
000-10.jpg,0.8,0.4,0.6,0.6,0.3
001-0.jpg,0.6,0.8,0.4,0.7,0.9
001-1.jpg,0.6,0.8,0.4,0.7,0.9
001-2.jpg,0.6,0.8,0.4,0.7,0.9
001-3.jpg,0.6,0.8,0.4,0.7,0.9
001-4.jpg,0.6,0.8,0.4,0.7,0.9
001-5.jpg,0.6,0.8,0.4,0.7,0.9
001-6.jpg,0.6,0.8,0.4,0.7,0.9
001-7.jpg,0.6,0.8,0.4,0.7,0.9
001-8.jpg,0.6,0.8,0.4,0.7,0.9
001-9.jpg,0.6,0.8,0.4,0.7,0.9
001-10.jpg,0.6,0.8,0.4,0.7,0.9
002-0.jpg,0.3,0.8,0.9,0.7,0.2
002-1.jpg,0.3,0.8,0.9,0.7,0.2
002-2.jpg,0.3,0.8,0.9,0.7,0.2
002-3.jpg,0.3,0.8,0.9,0.7,0.2
002-4.jpg,0.3,0.8,0.9,0.7,0.2
002-5.jpg,0.3,0.8,0.9,0.7,0.2
002-6.jpg,0.3,0.8,0.9,0.7,0.2
002-7.jpg,0.3,0.8,0.9,0.7,0.2
002-8.jpg,0.3,0.8,0.9,0.7,0.2
002-9.jpg,0.3,0.8,0.9,0.7,0.2
002-10.jpg,0.3,0.8,0.9,0.7,0.2
003-0.jpg,0.75,0.75,0.75,0.5,0.5
003-1.jpg,0.75,0.75,0.75,0.5,0.5
003-2.jpg,0.75,0.75,0.75,0.5,0.5
003-3.jpg,0.75,0.75,0.75,0.5,0.5
003-4.jpg,0.75,0.75,0.75,0.5,0.5
003-5.jpg,0.75,0.75,0.75,0.5,0.5
003-6.jpg,0.75,0.75,0.75,0.5,0.5
003-7.jpg,0.75,0.75,0.75,0.5,0.5
003-8.jpg,0.75,0.75,0.75,0.5,0.5
003-9.jpg,0.75,0.75,0.75,0.5,0.5
003-10.jpg,0.75,0.75,0.75,0.5,0.5
